省份,地级市,县/区,纬度,经度,海拔(m),最优倾角辐射量(kWh/m²年),最佳倾角(°),预测系统效率,预测年发电量(kWh/kWp),水平面总辐射(kWh/m²年),直接辐射(kWh/m²年),散射辐射(kWh/m²年),散射辐射比例,年均温(°C),制冷度日数,供暖度日数,地形坡度(°),地形方位角(°),土地覆盖,人口密度
贵州省,遵义市,绥阳县,27.946049,107.191326,864,1058.53125,15,82.21%,870.2008057,1038.367188,450.9609375,704.765625,0.6796875,14.875,670.5625,1808.75,1.100000024,-2,305,814
贵州省,遵义市,正安县,28.553507,107.454463,691,1048.757813,15,82.02%,860.2183228,1025.710938,433.875,700.7578125,0.6796875,15.3125,766.75,1743.4375,8.199999809,205.6000061,302,658
贵州省,遵义市,道真仡佬族苗族自治县,28.862548,107.613076,754,1039.375,16,82.19%,854.2770386,1020.054688,447.3515625,688.8828125,0.671875,14.9375,716.9375,1817.8125,12,292.8999939,303,536
贵州省,遵义市,务川仡佬族苗族自治县,28.562921,107.899353,608,1042.71875,16,81.93%,854.2732544,1022.460938,439.609375,696.6796875,0.6796875,15.625,861.8125,1721.6875,3.200000048,311.3999939,333,158
贵州省,遵义市,凤冈县,27.954424,107.71646,724,1073.101563,15,82.25%,882.6583862,1049.023438,462.34375,709.859375,0.6796875,15.375,786.1875,1724.3125,4,262.5,333,673
贵州省,遵义市,湄潭县,27.748942,107.465492,773,1068.09375,15,82.15%,877.4263306,1050.898438,467.8671875,706.8359375,0.671875,15.375,768.5,1715,6.400000095,320.7000122,303,805
贵州省,遵义市,余庆县,27.21513,107.906043,609,1095.164063,16,82.17%,899.8730469,1070.585938,478.359375,719.984375,0.671875,15.8125,893.25,1680.4375,3,268.7999878,305,191
贵州省,遵义市,习水县,28.332923,106.19715,1172,1066.398438,15,82.43%,879.0045166,1040.445313,482.8828125,688.109375,0.6640625,14.1875,502.1875,1887.1875,1.700000048,-2,333,385
贵州省,遵义市,赤水市,28.590474,105.697501,263,1055.8125,15,81.27%,858.0409546,1033.765625,443.5625,693.71875,0.671875,18.3125,1217.3125,1086.4375,3,357.3999939,333,4391
贵州省,遵义市,仁怀市,27.791883,106.401322,858,1094.789063,15,81.86%,896.1596069,1070.664063,484.5859375,712.328125,0.6640625,15.4375,735.9375,1658.6875,2.5,198.3000031,333,1223
贵州省,安顺市,西秀区,26.243928,105.966086,1360,1202.867188,17,82.65%,994.1260376,1173.109375,579.375,751.609375,0.640625,14.3125,404.8125,1738.75,5.300000191,49.70000076,302,51647
贵州省,安顺市,平坝区,26.405968,106.255768,1264,1197.015625,17,82.16%,983.4178467,1162.992188,568.1328125,751.90625,0.6484375,14.375,448.125,1759.0625,0.800000012,-1,333,977
贵州省,安顺市,普定县,26.301876,105.743156,1312,1214.578125,17,81.97%,995.5488281,1183.773438,583.1015625,757.421875,0.640625,14.5625,452.625,1703.1875,10.39999962,45.59999847,302,700
贵州省,安顺市,镇宁布依族苗族自治县,26.057248,105.770543,1277,1220.664063,17,82.23%,1003.74353,1191.992188,597.9609375,760.1875,0.640625,15.125,469.1875,1503.625,7,45.90000153,333,705
贵州省,安顺市,关岭布依族苗族自治县,25.953518,105.538335,1216,1221.84375,17,81.57%,996.6067505,1186.695313,587.671875,759.4921875,0.640625,15.8125,578.125,1374.125,2.599999905,-2,307,276
贵州省,安顺市,紫云苗族布依族自治县,25.751047,106.084441,1166,1247.007813,17,82.48%,1028.593872,1215.140625,609.3828125,765.3359375,0.6328125,15.9375,595.4375,1336.375,8.899999619,60.90000153,302,217
贵州省,毕节市,七星关区,27.298304,105.305219,1514,1216.054688,17,82.47%,1002.829224,1180.53125,618.5859375,732.921875,0.6171875,12.75,323.5625,2226.5,5.800000191,10,333,408
贵州省,毕节市,大方县,27.14443,105.601963,1647,1186.3125,17,82.96%,984.2115479,1151.765625,592.4921875,724.359375,0.6328125,12.4375,199.9375,2231.3125,2.5,257.8999939,333,1289
贵州省,毕节市,黔西市,27.008681,106.032277,1226,1203.882813,17,82.42%,992.2647705,1171.132813,593.203125,740.34375,0.6328125,14,458,1907.6875,3.799999952,322,333,1481
贵州省,毕节市,金沙县,27.458601,106.220112,915,1108.625,15,82.05%,909.6351929,1088.445313,509.125,710.3828125,0.65625,15.125,699.25,1723.9375,0.699999988,-1,333,951
贵州省,毕节市,织金县,26.663649,105.770249,1315,1181.765625,17,81.90%,967.9020386,1150.585938,580.9921875,726.6328125,0.6328125,14,435.25,1896.3125,4.099999905,281.7000122,333,1173
贵州省,毕节市,纳雍县,26.779344,105.414578,1575,1240.242188,18,82.38%,1021.752869,1199.28125,653.3515625,732.4609375,0.609375,13.1875,296.5625,2053.8125,2,-2,333,222
贵州省,毕节市,威宁彝族回族苗族自治县,26.873872,104.252787,2212,1538.953125,25,82.66%,1272.079834,1434.484375,1022.234375,749.09375,0.5234375,11.125,101.0625,2596.8125,4,315.6000061,333,980
贵州省,毕节市,赫章县,27.117933,104.728011,1569,1256.15625,20,82.20%,1032.604248,1219.101563,705.5234375,716.2421875,0.5859375,12.75,322.0625,2230.25,8.600000381,357.1000061,312,642
贵州省,铜仁市,碧江区,27.815244,109.264271,561,1150.390625,17,82.10%,944.4527588,1114.039063,545.0625,721.375,0.6484375,15.5625,828.875,1696.25,3.5,-2,302,126
贵州省,铜仁市,万山区,27.671268,109.153685,281,1114.585938,17,81.61%,909.6312866,1086.578125,514.9609375,709.1015625,0.65625,16.6875,1067.8125,1526.3125,6.199999809,230.3999939,302,124
贵州省,铜仁市,江口县,27.704883,108.843993,405,1104.039063,17,81.75%,902.5377808,1069.570313,503.7734375,701.0078125,0.65625,16.1875,981.1875,1618.5,17.20000076,189.1999969,302,227
贵州省,铜仁市,玉屏侗族自治县,27.235816,108.906415,388,1127.984375,17,81.95%,924.3950806,1101.125,520.03125,721.3125,0.65625,16.375,1022.5,1593.5625,2.400000095,334.8999939,333,386
贵州省,铜仁市,石阡县,27.513499,108.223686,514,1088.5,16,82.19%,894.6461182,1066.015625,482,705.3203125,0.6640625,16.125,973.125,1633.0625,13.80000019,285.2999878,303,688
贵州省,铜仁市,思南县,27.937464,108.253798,362,1049.570313,16,82.04%,861.0285034,1030.953125,443.6875,690.078125,0.671875,16.5625,1040.4375,1558.4375,8.899999619,269,337,676
贵州省,铜仁市,印江土家族苗族自治县,27.994442,108.409638,466,1086.898438,16,81.62%,887.102356,1066.523438,483.7890625,710.7578125,0.6640625,16.0625,981.3125,1664.1875,2.200000048,11,333,513
贵州省,铜仁市,德江县,28.264028,108.120773,654,1052.757813,16,83.36%,877.5619507,1019.414063,443.2265625,686.703125,0.671875,15.625,836.9375,1699.375,29,241.1000061,307,1266
贵州省,铜仁市,沿河土家族自治县,28.564083,108.503152,444,1072.835938,17,81.06%,869.6760864,1045.59375,463.4296875,699.546875,0.671875,16.1875,975.5,1609.8125,27.89999962,280.2999878,303,1046
贵州省,铜仁市,松桃苗族自治县,28.15427,109.202877,414,1094.976563,17,81.77%,895.3842773,1066.046875,493.6328125,705.984375,0.6640625,15.9375,956.875,1684,4.400000095,267,307,649
贵州省,黔西南布依族苗族自治州,兴义市,25.09196,104.895503,1250,1431.15625,19,81.33%,1163.96582,1376.804688,827.0625,788.828125,0.5703125,16.5,674.25,1221.9375,1.5,-2,333,14097
贵州省,黔西南布依族苗族自治州,兴仁市,25.43509,105.186132,1350,1360.914063,19,81.83%,1113.645508,1309.21875,748.2265625,783.1875,0.6015625,15.5,526.5625,1441.4375,0.600000024,-1,333,715
贵州省,黔西南布依族苗族自治州,普安县,25.784225,104.953289,1629,1317.632813,20,82.27%,1084.07605,1275.148438,741.0703125,756.546875,0.59375,14.4375,348.875,1650.4375,8.600000381,342.6000061,312,502
贵州省,黔西南布依族苗族自治州,晴隆县,25.834729,105.218956,1522,1305.992188,18,82.21%,1073.644165,1266.117188,695.25,769.5625,0.609375,14.875,283.1875,1410.5625,5.599999905,352.3999939,333,319
贵州省,黔西南布依族苗族自治州,贞丰县,25.38558,105.64976,1042,1318.765625,17,81.59%,1075.970825,1284.109375,685.046875,791.0234375,0.6171875,16.875,752.3125,1149.375,3.099999905,35,333,716
贵州省,黔西南布依族苗族自治州,望谟县,25.174204,106.094864,555,1293.078125,17,81.08%,1048.474854,1258.648438,635.84375,793.3828125,0.6328125,19,1252.875,874.125,10.60000038,293,333,214
贵州省,黔西南布依族苗族自治州,册亨县,24.983663,105.811592,594,1279.296875,17,81.80%,1046.470825,1255.890625,639.515625,785.578125,0.625,19.1875,1303.9375,854.625,12,349.2000122,302,194
贵州省,黔西南布依族苗族自治州,安龙县,25.099014,105.442702,1353,1397.984375,19,81.31%,1136.68689,1347.734375,787.4140625,790.21875,0.5859375,15.9375,519.6875,1271.125,1.600000024,-2,333,538
